batch_id,timing,did_terr_incl,did_terr_excl
1,strategic,3.466547619047631,-0.5417016806722472
3,strategic,-21.646013851376367,-21.894049447490076
6,regular,-23.84205178819336,-22.892525740636188
7,regular,13.275486104594883,14.403005183501811
9,regular,13.570992578849705,16.62919127086009
12,strategic,-8.078465096112161,-7.8103047406778
14,strategic,-12.608787735666873,-11.625884103641432
17,regular,9.068359834262523,5.939764204741834
19,strategic,9.83054100254099,3.9966515837104097
20,strategic,3.9569044786025955,-12.854458670260549
22,strategic,-17.44699322416711,-22.274531414531396
23,regular,-4.507521939645358,-10.287195260879479
25,regular,8.946677900818493,15.985003553660277
27,strategic,-7.177853245094596,-10.979563492063477
30,regular,12.532422003284054,3.485569001213669
33,strategic,-12.407571101667209,-9.819047619047609
34,regular,31.604299643462397,27.1145641857363
37,strategic,15.40819902478971,19.610511562133794
39,regular,-17.402719298245593,-5.891885964912277
40,strategic,-5.43554273679851,-8.530693987385163
43,strategic,-7.151274817136887,-2.2214018334606465
44,regular,7.073612479474548,3.98166891284815
47,strategic,3.1013553113553343,2.6172893772893886
49,late,10.579238201412139,16.00056797512177
51,strategic,2.594456222367171,-4.532906692495736
52,regular,2.7795578664402854,1.5912903225806332
56,strategic,-2.3902578067094353,-7.320881384812012
57,regular,-0.9216549354784576,-2.6330452488687826
59,strategic,4.27636722403021,0.2789097744360731
60,regular,2.4928290043290033,2.2159232072275685
61,late,18.820341016541008,8.470208920696876
65,strategic,-4.194444626513601,-5.0643056849953325
66,regular,7.624872065918574,8.287206959706978
69,late,-16.584393939393927,-14.971666666666671
74,late,19.394516594516617,22.785662972085397
76,strategic,-5.9440256608972675,-6.294077379237287
77,regular,-2.3202005012531473,-2.86102865860304
82,strategic,-12.082665003903585,-18.609333163330362
83,regular,-22.831642512077302,-19.78805276848754
84,strategic,34.626197562358286,36.96413627554617
87,regular,-2.737890192590555,-4.426415917843386
89,strategic,20.57655883155884,16.414365679104066
90,regular,46.70504590647451,46.70407925407929
91,late,-16.721302294197038,-19.09069213732004
92,regular,14.114092505093424,13.46381391539667
97,strategic,-3.044037954241851,-9.738757941179387
100,regular,1.083769158769158,4.365770203701253
103,strategic,-3.2866673224473715,-3.1271640316205307
104,strategic,-1.187416134144975,-1.4629904162923069
106,regular,22.89090367965367,24.34685606060605
109,regular,5.171825068055391,6.026833761187831
110,late,4.553856869573735,5.30682509134521
113,regular,2.5342826808501613,0.13893540669855042
114,strategic,7.385467205750253,8.64156184486373
115,strategic,-18.156688034188022,-18.74002136752135
116,regular,-24.699332570556805,-23.137722642383068
118,strategic,-29.03608886592611,-25.55308956916099
119,strategic,-17.9780729312763,-20.761481736307758
122,regular,-3.0807004429678813,0.09172936259145104
124,regular,-9.482799145299147,0.5147988505747136
127,strategic,0.9679985842250076,1.716098303075043
129,strategic,-7.092961323392359,-7.99224137931035
131,late,1.2436342342731237,8.91045349577957
132,regular,29.813141025641016,31.832783882783886
135,regular,16.06620807330117,13.03312717570413
138,strategic,-10.346202701712379,-8.873763934669064
139,regular,11.546989419960745,15.193859910581217
142,regular,-19.111191492396735,-32.695943673635576
144,strategic,-9.214545659019336,-10.671753056884633
145,regular,-2.1259590586718247,-2.645517765310892
146,late,10.351864239906668,18.343254614238205
148,regular,-7.569823409409672,-9.618645021645015
151,strategic,2.4743213177526897,-1.0840593277689976
152,strategic,-2.5673349471450777,-2.63724232876492
153,regular,-6.180344129554655,-7.203260796221322
154,strategic,-28.50763636363638,-30.287636363636373
155,regular,-2.8266666666666964,-10.268571428571427
156,regular,-11.7136952742216,-10.688695274221594
157,regular,-28.68327228327228,-24.220377448638345
160,regular,42.00703438814708,52.15841201052469
163,strategic,19.343886699507372,24.808188286808985
164,regular,-4.709511225208892,-6.857284145329679
173,regular,4.333191754962861,-1.1741800399089257
175,strategic,-3.559914692272912,-4.106929455287691
178,strategic,22.468831168831173,18.038467532467536
179,regular,-8.281396396396417,-18.421666666666695
180,late,-20.347777777777786,-19.91947008547009
181,strategic,-14.815699587823048,-15.782870544090052
184,strategic,19.543952062430314,19.284924284652526
187,regular,-9.904501133786859,-10.640585506930044
190,strategic,35.88012362637362,39.41268315018315
191,strategic,-0.9143278301886824,-2.777973484848509
193,regular,-16.78515548022296,-14.877361779670622
195,strategic,6.659584056294598,4.707846969372461
198,strategic,-7.279002115217125,-0.2451474334440249
201,strategic,5.900087912087926,8.043016351839896
202,regular,12.152843931260406,11.086432890134951
204,strategic,-21.206901100252026,-21.714145465082602
205,strategic,-3.0947120693894803,-3.7761559589311986
208,strategic,12.785092898313252,18.065695339350462
211,regular,-23.072578150439583,-23.84433658830065
214,strategic,1.1702158952158968,4.957297284047456
218,strategic,-6.132015669515681,-17.418496414186087
221,strategic,3.4119175242995965,-5.855500608642714
224,strategic,10.1017094017094,6.788616938616933
225,strategic,-15.90047008547009,-10.279747474747488
228,strategic,-38.21532467001199,-29.254158163265302
230,late,-10.970247188233856,-16.300833333333337
231,regular,4.977503541683589,5.481233439321706
234,strategic,16.73978723643394,20.346548171577226
236,strategic,15.848761555744602,6.07098774622078
239,regular,2.926758832565284,-2.9793107769423486
240,late,4.67394179894179,3.3936507936507923
245,regular,-12.38057322794166,-10.777685801041095
247,regular,-10.235707873573077,-14.351306168647412
249,strategic,-11.131141636141642,-12.389177350427353
250,regular,-8.051291473419148,-2.640084854477905
251,regular,7.733439041578563,10.823695286195289
252,regular,10.530945419103325,8.83486433802225
254,regular,-20.029048639512233,-19.479132310475578
257,regular,39.15607866149079,42.68536682615632
260,strategic,14.850226053639844,22.946096924510705
266,strategic,3.411947640231091,1.7378540831491094
267,regular,-19.22028985507248,-22.52812500000001
271,strategic,26.586303445180114,23.338394423558903
272,strategic,-7.44709394205443,-1.176492906105544
273,regular,-3.4969712057090803,-12.047050570788464
279,regular,-15.473425207328631,-21.112439838719958
281,regular,-15.312678812415655,-22.1598076923077
284,strategic,-4.037595834455516,-3.3305663745537117
287,strategic,27.673887163561083,23.541803830227742
288,regular,-8.321976232302326,-12.363720538720543
290,regular,9.346023273193111,-1.9367264314632848
291,late,26.883283564261824,23.124506212741508
293,strategic,4.363644240570821,8.14837229437228
294,strategic,11.587196484071484,7.886181661475803
295,regular,-5.879312015503871,-5.68454080648273
296,strategic,9.2581552813337,11.837180039787803
297,regular,5.399174194767497,-0.1223049998174659
300,strategic,-2.7348313768112362,-2.3349383188890513
301,strategic,2.6509105841138023,13.080989404352813
302,regular,3.6544019194258084,0.9409778456837046
