batch_id,match_id,naive,lpo,perturber_share,volume,timing
1,3894529,0.361215828643793,-0.16826306645964406,0.2,30,strategic
2,3894529,0.556836207309545,0.1557319760852303,0.2463768115942029,18,late
3,3894529,0.41291024742685123,0.2693944081183253,0.10596026490066225,65,strategic
4,3894529,0.20926605440265295,-0.014880905677723802,0.16666666666666666,53,regular
5,3894529,0.3102041721242296,-0.11368292268870195,0.12692307692307692,55,late
6,3894530,-0.15394784224396757,-0.2592664358894414,0.03153153153153153,46,regular
7,3894530,0.016741012679740975,-0.1270487735479021,0.0625,38,regular
9,3894530,-0.5046405711988515,-0.5906802583846587,0.07526881720430108,44,regular
10,3894530,0.27473477058535106,0.17965466035527095,0.16911764705882354,21,late
12,3894531,0.06336044168835975,-0.29621487025751936,0.14788732394366197,34,strategic
13,3894531,0.18471661278343024,-0.03933496085100852,0.03571428571428571,20,late
14,3894531,0.11674648452984937,-0.013351028023097703,0.10919540229885058,41,strategic
15,3894531,0.10919051264896414,-0.2267674478746912,0.20987654320987653,31,regular
16,3894531,7.927718307833877e-17,-0.22160523525224338,0.044642857142857144,20,late
17,3894532,0.397859611586048,-0.0388102098178464,0.125,33,regular
19,3894532,0.17222436681552167,-0.2504734445018405,0.21774193548387097,25,strategic
20,3894532,0.3788216389130799,-0.11248166300024122,0.2465753424657534,36,strategic
22,3894533,-0.12871484612056536,-0.45740370212553666,0.08695652173913043,23,strategic
23,3894533,0.5511726808070321,-0.06296636171318236,0.31343283582089554,29,regular
27,3894534,0.05692066791346408,-0.16633391202985345,0.056451612903225805,58,strategic
28,3894534,0.4696799065973809,0.07626907673173947,0.22641509433962265,43,regular
29,3894534,0.5480545506839674,0.05905941928381872,0.07339449541284404,48,late
30,3894534,0.5624091426062273,0.16613218543635985,0.20481927710843373,35,regular
33,3894535,0.2189701840402359,0.051383499553870796,0.08196721311475409,23,strategic
34,3894535,0.09536873578392963,-0.09847441078000028,0.08571428571428572,19,regular
37,3894535,0.19454711194804952,-0.3713460389760442,0.14968152866242038,56,strategic
39,3894536,0.30787964730433803,0.07179848586315114,0.2236842105263158,18,regular
40,3894536,0.37141581723281686,0.10402266535249037,0.1196319018404908,74,strategic
41,3894536,0.16418911519259802,-0.34986837257916353,0.13101604278074866,86,regular
42,3894536,0.5692218036893508,0.22701971489925013,0.15294117647058825,85,late
43,3894537,0.6467995966579951,0.26994858946119543,0.15384615384615385,29,strategic
44,3894537,0.2980705155410152,-0.06762952608954895,0.1111111111111111,29,regular
