predictor,n,beta_main,p_main,p_main_naive,beta_inter,p_inter,family,q_within,q_inter_within,q_joint36,q_inter_joint36,survive_joint,survive_inter_joint
sub_offensive,1490,-0.003611044093428106,0.8393015761248861,0.9373339347310883,-0.04121038942460792,0.10209658401167365,posthoc_tactical,0.9285756226506107,0.15314487601751048,0.8812666549311304,0.4764507253878104,False,False
sub_defensive,1490,0.010219331011796288,0.5661352641833463,0.30292015874047284,0.07960519228432174,0.0033636437346039275,posthoc_tactical,0.9285756226506107,0.020181862407623565,0.7183384688932067,0.07063651842668248,False,False
lineshift_net,1490,-0.012100548375474566,0.4955008537530834,0.5519263576685013,-0.06445586058485561,0.01256709124575972,posthoc_tactical,0.9285756226506107,0.03770127373727916,0.6874661318671258,0.120506800761648,False,False
lineshift_mean,1490,-0.005101027233646141,0.7742509158370026,0.6695102861131124,-0.05104278518739891,0.04319575643528032,posthoc_tactical,0.9285756226506107,0.08639151287056064,0.8557510122408976,0.25917453861168194,False,False
tact_shift,1490,0.009464620222205254,0.598615390744339,0.17491714460362906,-0.0241306303855535,0.3676206253613218,posthoc_tactical,0.9285756226506107,0.44114475043358614,0.7183384688932067,0.9969163887513932,False,False
formchg_L1,1490,0.0016080036709050385,0.9285756226506107,0.9291559084918362,0.003346298000359802,0.899674036625507,posthoc_tactical,0.9285756226506107,0.899674036625507,0.9285756226506107,0.9969163887513932,False,False
lineshift_net_sensWM,1490,-0.009711062878419987,0.5838134862381128,0.3512145017321092,-0.0696952091524989,0.00739065116829297,sensitivity,,,,,,
lineshift_net_nominal,1486,-0.009670861403054709,0.5868898410170177,0.18789437044693325,-0.05426032191721783,0.037738187774370775,sensitivity,,,,,,
