outcome,group,n,est_unweighted,p_unweighted,est_weighted,p_weighted,est_biascorr,p_biascorr
zone_reorg_snr_excl,strategic,425,1.1373888357134572,0.21499999999999997,1.1472318685663219,0.21250000000000002,,
zone_reorg_snr_excl,regular,404,1.7349432030214562,0.0024999999999999467,1.7659008686297277,0.0050000000000000044,,
zone_reorg_snr_excl,late,73,2.2786589036372638,0.0,2.178922971299609,0.0,,
dterr_excl,strategic,425,0.2566201061596819,,-0.35463673782658156,0.627,-0.20021762355386843,0.7878123738494843
dterr_excl,regular,401,1.0648155922206541,,1.486585369972011,0.034,2.0178370076472985,0.009464021146726967
dterr_excl,late,73,5.177331576563524,,3.7158908287250805,0.028,1.8462479609202438,0.3866368123756053
dterr_excl,ALL_withinbc,899,,,,,0.9553239724175199,0.06779194564296616
