feature,n,beta_main,p_main,corr_timing,tnum_attenuation,b_tnum_adj,q_main
tilt,1490,-0.07411762830469952,3.427447897478723e-05,0.003245463141004458,-0.015632772606353235,0.0418732201680377,0.0002056468738487234
plen,1490,-0.04675323378106512,0.010256479201231484,-0.03209647997249622,0.06542999062428798,0.03853110771978002,0.030769437603694452
fwd,1490,0.017901332014736874,0.3250014450443539,0.01869171717955508,0.00995633989221158,0.04081821429341692,0.6500028900887078
spr_x,1490,0.01026427384424315,0.5719420769068834,0.015470546010805452,0.006201754078796739,0.04097301099025987,0.7403050419513345
spr_y,1490,-0.006409566396563531,0.7251057827658403,0.004335993536918259,-0.0012624492157024942,0.04128075039800612,0.7403050419513345
vprog,1490,0.006062036903390103,0.7403050419513345,0.041028918442379755,0.008607349449965678,0.04087383141735807,0.7403050419513345
