perm,max_abs_z
1,1.6349357978644474
2,2.1000173400187894
3,1.729264546683461
4,1.985479457801414
5,2.2341071501291108
6,2.7753922088461715
7,2.1045297054839667
8,2.5809264297541943
9,2.236525808578022
10,2.4138925898345986
11,2.6649901877536664
12,2.4352490000108284
13,1.4047267971412079
14,2.2805520067341183
15,2.5318079665944455
16,1.9871279545324239
17,3.1998938350664896
18,1.9160739043564032
19,1.5982281957355586
20,2.443004755380941
21,2.021207202054061
22,1.6748654541570467
23,1.1017839416166353
24,2.3777684157913965
25,2.241164885881385
26,1.8600998896880896
27,3.783410628196597
28,1.9637857597432438
29,2.510045366791713
30,2.624209205150971
31,1.7160070468867772
32,2.053106580064071
33,2.516782070250701
34,3.641749333960332
35,2.179299113018403
36,3.069336870696531
37,1.6938300747643598
38,1.8829300419528825
39,2.61472046002985
40,2.126469039505753
41,2.9320820016537645
42,2.1884865329493217
43,1.9005335417719424
44,2.561612869238031
45,1.6038164096141834
46,2.7615985288118896
47,2.5354879214268653
48,2.0422533565596
49,2.445234534300889
50,2.101296505638599
