section,item,metric,value,note
B_replication,SUMMARY,p_binom_two_sided_at_0.5,1.0,
B_replication,SUMMARY,p_binom_one_sided_at_0.5,0.623046875,
B_replication,SUMMARY,chance_per_comp_sign_and_p05,0.025,hypothetical stricter rule: same sign and two-sided p<0.05; not the rule used
B_replication,SUMMARY,p_binom_one_sided_at_0.025,2.215338504219056e-06,
C_maxz,closest_to_BHmin_main,predictor,pre_dens_Z,
C_maxz,closest_to_BHmin_main,p_main,0.001757141706435,
C_maxz,closest_to_BHmin_main,abs_distance_to_thr,0.000368252817546111,thr=0.05/36=0.001389
C_maxz,closest_to_BHmin_main,ratio_p_over_thr,1.2651420286332,
C_maxz,closest_to_BHmin_interaction,predictor,trailing,
C_maxz,closest_to_BHmin_interaction,p_inter,0.0022790196362623,
C_maxz,closest_to_BHmin_interaction,abs_distance_to_thr,0.000890130747373411,thr=0.05/36=0.001389
C_maxz,closest_to_BHmin_interaction,ratio_p_over_thr,1.640894138108856,
C_maxz,perm_test,observed_max_abs_z,3.051235212930133,interaction family
C_maxz,perm_test,B_permutations,50,
C_maxz,perm_test,n_perm_ge_obs,4,
C_maxz,perm_test,p_perm_raw,0.08,
C_maxz,perm_test,p_perm_plus1,0.09803921568627451,(r+1)/(B+1)
C_maxz,perm_test,perm_q95,3.1411432011000078,text cites 3.14
C_maxz,perm_test,mvn_mc_p_reference,0.06037,"same statistic under the dependence-aware MVN null (NSIM=1e5), cross-reference"
D_selection,pre_density_P_t15,n_retained,1285,
D_selection,pre_density_P_t15,n_dropped,789,
D_selection,pre_density_P_t15,mean_retained,0.028076636722551118,
D_selection,pre_density_P_t15,mean_dropped,0.02563882814833385,
D_selection,pre_density_P_t15,smd_ret_minus_drop,0.1678836334814582,
D_selection,pre_clustering_P_t15,n_retained,1285,
D_selection,pre_clustering_P_t15,n_dropped,789,
D_selection,pre_clustering_P_t15,mean_retained,0.13425976267963152,
D_selection,pre_clustering_P_t15,mean_dropped,0.12929281456729397,
D_selection,pre_clustering_P_t15,smd_ret_minus_drop,0.09197636533767291,
D_selection,pre_betweenness_P_t15,n_retained,1285,
D_selection,pre_betweenness_P_t15,n_dropped,789,
D_selection,pre_betweenness_P_t15,mean_retained,0.09540728901088824,
