timing,n_batches_headline,n_batches_fullwindow,N_ref,N_cmp,snr_headline_Nref,snr_headline,p_headline,snr_fullwindow,p_fullwindow,mean_extra_excluded,n_dropped
strategic,425,393,73,49,1.0522293537587106,1.0400486126212989,0.42000000000000004,1.0506616865257548,0.36250000000000004,1.4147582697201018,32
regular,404,314,73,49,1.5814078207699787,1.458352906074343,0.02749999999999997,1.3363047282622307,0.0675,2.7961783439490446,90
late,73,49,73,49,1.5734156124610186,1.4924805560331929,0.025000000000000022,1.5178756356398844,0.01749999999999996,3.061224489795918,24
