group,metric,n,lam,smd_before,smd_after,ess
strategic,P_density,425,0.0,-0.030678032090670448,4.63716227150034e-08,267.01517847398645
strategic,P_clustering,425,0.0,0.01959301356672569,-2.3852327557061993e-08,267.01517847398645
strategic,P_betweenness,425,0.0,0.02177267837422895,2.6698182271674254e-08,267.01517847398645
strategic,P_lambda2,425,0.0,-0.015073228967938813,4.153362084896265e-08,267.01517847398645
strategic,P_efficiency,425,0.0,-0.003902949454559234,5.0821816512052133e-08,267.01517847398645
strategic,Z_density,425,0.0,0.10469047933009261,4.880411503422336e-08,267.01517847398645
strategic,Z_clustering,425,0.0,0.14649629454349855,1.5896955619647487e-08,267.01517847398645
strategic,Z_betweenness,425,0.0,0.08890111040730742,3.831215113318431e-08,267.01517847398645
strategic,Z_lambda2,425,0.0,0.027640570157132414,1.67221175750877e-08,267.01517847398645
strategic,Z_efficiency,425,0.0,0.08077618639701489,5.376975866498343e-08,267.01517847398645
strategic,Z_vers_P_w10,425,0.0,-0.14905756213028004,-2.0978820826465456e-08,267.01517847398645
strategic,Z_vers_Z_w10,425,0.0,-0.025594718750296404,-2.6749965750275504e-08,267.01517847398645
regular,P_density,404,0.01,-0.10827220795602231,-0.061864227734487194,132.21257823366423
regular,P_clustering,404,0.01,-0.12458278166235065,-0.006928837382150881,132.21257823366423
regular,P_betweenness,404,0.01,0.03065784421118142,-0.010977527149911575,132.21257823366423
regular,P_lambda2,404,0.01,0.02257573750632319,0.007197885146113252,132.21257823366423
regular,P_efficiency,404,0.01,-0.05021673510727532,-0.03247756705207356,132.21257823366423
regular,Z_density,404,0.01,0.13433432979934218,0.06104143407891244,132.21257823366423
regular,Z_clustering,404,0.01,0.09660311217531262,0.014477121288341529,132.21257823366423
regular,Z_betweenness,404,0.01,0.1716605756927432,-0.004595221576269041,132.21257823366423
regular,Z_lambda2,404,0.01,-0.11410553593119394,0.0058661442800265326,132.21257823366423
regular,Z_efficiency,404,0.01,0.12404379990336745,0.011963371461892885,132.21257823366423
regular,Z_vers_P_w10,404,0.01,-0.38677681464529984,-0.04328105016035626,132.21257823366423
regular,Z_vers_Z_w10,404,0.01,-0.3178646534044603,-0.03803427041744797,132.21257823366423
late,P_density,73,1.0,-0.524959190149506,-0.33212127724329676,64.69737709723577
late,P_clustering,73,1.0,-0.017298149392749342,0.008960816306867373,64.69737709723577
late,P_betweenness,73,1.0,-0.37080090308097513,-0.35266359164109695,64.69737709723577
late,P_lambda2,73,1.0,0.1458043101490216,0.12307773591532213,64.69737709723577
late,P_efficiency,73,1.0,-0.4242524997811212,-0.2732492043212825,64.69737709723577
late,Z_density,73,1.0,-0.09840778888290372,0.060673215841354745,64.69737709723577
late,Z_clustering,73,1.0,0.29596002304159025,0.37550722125724256,64.69737709723577
late,Z_betweenness,73,1.0,-0.09509227150372611,0.0626307716557476,64.69737709723577
late,Z_lambda2,73,1.0,-0.3621992765227318,-0.340518053192028,64.69737709723577
late,Z_efficiency,73,1.0,-0.1481404343102004,0.023060818332280818,64.69737709723577
late,Z_vers_P_w10,73,1.0,-0.7546326786863988,-0.5815211044700529,64.69737709723577
late,Z_vers_Z_w10,73,1.0,-0.27733185715049025,-0.27816068344156275,64.69737709723577
