family,k,x_expected,lo,med,hi
main,1,0.017408019974707787,0.000906105110070652,0.02500017276944426,0.14026726691100533
main,2,0.05224518037594049,0.0077794686856270875,0.05975550589909652,0.21125295698671812
main,3,0.08714588195686,0.019969930641077122,0.09463512752948364,0.27763409191705785
main,4,0.12215308890255226,0.03553126848567664,0.12966727612640888,0.3378589270044937
main,5,0.1573106846101707,0.05298888464069878,0.16545428136503215,0.3957441841658949
main,6,0.1926638682197272,0.07227312465608068,0.20087291871705654,0.45408241648606207
main,7,0.22825958147594064,0.09202632167366573,0.23639427261966878,0.509843777040209
main,8,0.2641469768259235,0.11306177172885677,0.27212975876305356,0.5641905597434921
main,9,0.30037793955496395,0.13454584241555273,0.3077765015390499,0.6193655619515395
main,10,0.33700767935320236,0.15714375561520205,0.34396488243598866,0.676269672486101
main,11,0.37409541019772363,0.17946689554496442,0.3811453433159818,0.7297062579964134
main,12,0.41170514212382237,0.20427046472467686,0.4182409791451156,0.7851555111843244
main,13,0.4499066147692282,0.2286691935409208,0.4555767012070021,0.8448038935175353
main,14,0.4887764111146695,0.2540042831036501,0.4933890604153458,0.8989608849377981
main,15,0.5283993014986544,0.28053368188185973,0.5317550078132012,0.9545382437765175
main,16,0.5688698840577776,0.30849650162277564,0.5707082440364875,1.0109535467400865
main,17,0.6102946101863326,0.3359472511593723,0.6102803047010881,1.0688538804716285
main,18,0.6527943153857513,0.36459216372803477,0.6512927537303004,1.1281630363378854
main,19,0.6965074215790178,0.39438577060347485,0.6928719070825156,1.1891938741018038
main,20,0.7415940438615162,0.4262681331005177,0.7356225935520131,1.2536665004319518
main,21,0.7882413344974836,0.45802296007289106,0.7799839260729409,1.3178546356164247
main,22,0.8366705492413726,0.4910440407408296,0.825902754036522,1.3842744926388022
main,23,0.8871465590188761,0.5252374440376186,0.8735469675856868,1.4547980976775328
main,24,0.9399909121894655,0.5621653581791255,0.9232655310687456,1.5253759619306348
main,25,0.9956001858419566,0.6004646584926902,0.9752729707702488,1.6047023785515702
main,26,1.0544724517700532,0.6415924875546344,1.0297245963420782,1.6792336360518185
main,27,1.1172466278630777,0.6852540007029584,1.0880558996751009,1.758384675375192
main,28,1.1847631375478964,0.731892752903657,1.1509001297754657,1.8441233492012985
main,29,1.2581615610630963,0.7828428239573221,1.2181608973519116,1.9336938409349538
main,30,1.3390464383709664,0.837343900534007,1.2917028350347737,2.033860568448914
main,31,1.4297883359455212,0.8981950162571137,1.3752068531956114,2.1428271755341513
main,32,1.5341205443525463,0.9636404802826741,1.4701265254158482,2.2661807775185454
main,33,1.658472061035627,1.0422239830301903,1.5801676399981566,2.409899255369609
main,34,1.8155173349526696,1.1334516364359013,1.718311956924223,2.6006100659806255
main,35,2.03683413170139,1.2531539366237963,1.9061082136164584,2.9071167938927367
main,36,2.460124337560004,1.433488673854078,2.1980264674053602,3.3280477517562677
interaction,1,0.017408019974707787,0.0009021204395678454,0.025096173396604454,0.141653346652416
interaction,2,0.05224518037594049,0.007615811998870603,0.05993653761931125,0.2160584049570858
interaction,3,0.08714588195686,0.019728184514326487,0.09492631816863295,0.2797097035621679
interaction,4,0.12215308890255226,0.035055310320659186,0.13005103482538766,0.3405791851321949
interaction,5,0.1573106846101707,0.0525262712984628,0.16521036491896893,0.4001531892257186
interaction,6,0.1926638682197272,0.07148344115451707,0.2005885092545852,0.45581251961644603
interaction,7,0.22825958147594064,0.09132758305903936,0.23616015145907143,0.5125405839720576
interaction,8,0.2641469768259235,0.11226805384131805,0.27174560140875437,0.5687956804552904
interaction,9,0.30037793955496395,0.13409357713683426,0.30752822216471626,0.6222218940783925
interaction,10,0.33700767935320236,0.15525279731610267,0.3436766519192895,0.6793776715029014
interaction,11,0.37409541019772363,0.1788105495151032,0.3803140325640322,0.7347518668719035
