predictor,corr_minute,z_main,q_main
pre_btw_Z,-0.00650347650386662,-4.74872294129514,7.369385308621422e-05
trailing,-0.09282897539353903,-3.7082402699566934,0.0025016835325216
margin,0.1179157307455917,3.699264563281294,0.0025016835325216
pre_eff_Z,-0.025962114297331553,-3.6350146524337443,0.0025016835325216
pre_dens_Z,-0.036960212311575855,-3.1284779899772044,0.0126514202863322
n_subs,0.02109900788720424,2.8879722526347327,0.0232640444756897
pre_clus_Z,-0.015758527164719132,-2.3964900137882537,0.0851294290338509
team_str,0.019742670142593666,2.3106983121211995,0.0938228604497064
batch_seq,0.6208145964693381,-2.227824973158145,0.1035687553903618
abs_margin,0.06667661321551076,-2.1527050936794727,0.1128307065519529
ent_mean,-0.04394074320451521,-2.0295686439634824,0.1387649614258258
pre_eff_P,-0.16034627516250063,-1.9420797059241366,0.156382355654402
pre_lam_P,-0.11449341447771134,-1.8495916086693,0.178262122626336
pre_vers_P,-0.15099145191019622,1.7789704205529446,0.1909954211319711
leading,0.1229877606648188,1.7291024350659066,0.1909954211319711
pre_dens_P,-0.1530194624736263,-1.7230092415174212,0.1909954211319711
pre_lam_Z,-0.01807435386433806,-1.5429167220598818,0.2601550227802112
pre_btw_P,-0.245043707351321,-1.3984827710767191,0.2952323694925316
minute,0.9999999999999998,1.3916844173456906,0.2952323694925316
t_remain,-1.0,-1.3916844173456844,0.2952323694925316
pre_vers_Z,0.001846019627848877,1.3388914122284943,0.3096103299062417
ent_max,-0.025026014829646566,-1.2864142369105784,0.3111823003541391
opp_str,0.02804545383472987,1.2849466887518295,0.3111823003541391
v_mean,-0.07129846065909709,-1.1404926383827707,0.3811216768948686
preA_att_P,-0.07363361107201011,-1.1127504035218831,0.3827745238034632
preA_rnd_P,-0.00565479978843481,-1.06001639769394,0.4003437315292956
out_pr,-0.004684678568323727,-0.9765215472733915,0.4384081005084499
is_home,0.04068499934865575,-0.9231467985501047,0.4576251976610225
v_max,-0.05614043027926455,-0.8832797999369962,0.4681056600673506
str_diff,-0.005748331361718284,0.6501998621746118,0.6082649646013278
opp_sub,0.508053083748497,0.6375237890375208,0.6082649646013278
out_deg,-0.015997043114927403,0.5327130359214741,0.6685112709791353
preA_att_Z,0.06003915297239639,-0.3214110667237159,0.8096676825114932
preA_rnd_Z,0.05390446250233312,0.299332781423671,0.8096676825114932
pre_clus_P,-0.1325168518636624,-0.21256592726232634,0.8554274230139032
out_btw,-0.024230431918807988,-0.1729919412277895,0.8626577620920126
